"","x"
"1",69.5426975606237
"2",69.5987920390127
"3",69.7139417931476
"4",69.6913839448553
"5",69.6471333020234
"6",69.2426751852294
"7",69.2426751852294
"8",69.2571338193961
"9",69.2426751852294
"10",69.2426751852294
"11",69.2426751852294
"12",69.2571338193961
"13",69.290495201882
"14",69.0213554885976
"15",69.0174828397476
"16",69.0233498022476
"17",69.0213554885976
"18",68.9272396115955
"19",68.5219344725977
"20",68.4624437264063
"21",68.4645610916015
"22",68.4640287299063
"23",68.5722944535802
"24",68.5722944535802
"25",68.5627596747749
"26",68.5683644665802
"27",68.5627596747749
"28",68.5761379809749
"29",68.5761379809749
"30",68.5761379809749
"31",69.0197283677908
"32",68.6127041105128
"33",68.5722846907416
"34",68.5722846907416
"35",68.5377231841976
"36",68.6127041105128
"37",68.5722846907416
"38",68.5627596747749
"39",68.5761379809749
"40",68.5627596747749
"41",68.528198168231
"42",68.541576474431
"43",68.5306022521643
"44",68.541576474431
"45",68.541552477631
"46",68.5269346191079
"47",68.539848480031
"48",68.532104158431
"49",68.541552477631
"50",68.532104158431
"51",68.5400505713643
"52",68.543242481031
"53",68.9284865552174
"54",68.6151195679834
"55",68.862272634843
"56",68.5363829383079
"57",68.5230046321079
"58",68.5363829383079
"59",68.528174171431
"60",68.541552477631
"61",68.528174171431
"62",68.528174171431
"63",68.5230046321079
"64",68.5400505713643
"65",68.6168235655834
"66",68.5400505713643
"67",68.541576474431
"68",68.5400505713643
"69",68.5400505713643
"70",68.541552477631
"71",68.541552477631
"72",68.5363829383079
"73",68.5363829383079
"74",68.5363829383079
"75",68.9785406523571
"76",68.5717482415958
"77",68.5329488178245
"78",68.5329488178245
"79",68.5273537888579
"80",68.5273537888579
"81",68.5368021080579
"82",68.5368021080579
"83",68.5273537888579
"84",68.5368021080579
"85",68.5368021080579
"86",68.4927855343854
"87",67.5274611310489
"88",68.4530555337854
"89",67.4683774750489
"90",67.4260854776489
"91",67.4683774750489
"92",67.3829988113155
"93",67.4683774750489
"94",67.3829988113155
"95",67.3735504921155
"96",67.7416419524131
"97",68.045061506862
"98",68.3560650064357
"99",68.4302352833655
"100",68.045061506862
"101",68.4643016211557
"102",68.0784228893479
"103",68.3600850112357
"104",68.4643016211557
"105",68.045061506862
"106",68.0784228893479
"107",68.045061506862
"108",68.030976194662
"109",68.030976194662
"110",68.030976194662
"111",68.030976194662
"112",68.030976194662
"113",68.030976194662
"114",68.035138197862
"115",68.026956189862
"116",68.0187733593973
"117",68.0287766755973
"118",68.0287766755973
"119",68.341940179777
"120",67.3345675745689
"121",67.3634243962644
"122",67.3291602976598
"123",67.3634243962644
"124",67.3291602976598
"125",67.6916567289907
"126",67.3291602976598
"127",67.3196352816931
"128",67.3196352816931
"129",67.3317480991577
"130",67.3330135878931
"131",67.3330135878931
"132",67.3330135878931
"133",67.3330135878931
"134",67.3330135878931
"135",67.3235652686931
"136",67.3411964183578
"137",67.3420355989577
"138",67.3514839181578
"139",67.3514839181578
"140",67.7489526599951
"141",67.383307928897
"142",67.383307928897
"143",67.3434488013258
"144",67.3434488013258
"145",67.3434488013258
"146",67.3528971205258
"147",67.3528971205258
"148",67.3528971205258
"149",67.3528971205258
"150",67.3434488013258
"151",67.3434488013258
"152",67.3528971205258
"153",67.3528971205258
"154",67.3528971205258
"155",67.3528971205258
"156",67.3528971205258
"157",67.3528971205258
"158",67.3528971205258
"159",67.3528971205258
"160",67.4959194089062
"161",67.8005059313567
"162",67.7582139339567
"163",67.8505600284965
"164",67.7601433528631
"165",67.8453997079465
"166",67.7889841130587
"167",67.5009058208817
"168",67.4826860996304
"169",67.5096535510449
"170",67.3490438302924
"171",67.383307928897
"172",67.383307928897
"173",67.3490438302924
"174",67.3395188143258
"175",67.3434488013258
"176",67.3395188143258
"177",67.3434488013258
"178",67.3395188143258
"179",67.3434488013258
"180",67.3312459660611
"181",67.3406942852611
"182",67.3488771157258
"183",67.4455187854511
"184",66.9927883079929
"185",67.4390671335327
"186",67.545061665497
"187",67.6668589337291
"188",67.6883914397291
"189",67.6883914397291
"190",67.7000006660368
"191",67.7000006660368
"192",67.7000006660368
"193",67.3972422979976
"194",67.3972422979976
"195",67.3972422979976
"196",67.3838639917976
"197",67.8088845382349
"198",67.4557752255187
"199",67.7997042128849
"200",67.8037242176849
"201",67.3811861724996
"202",67.4557752255187
"203",67.6877978307722
"204",67.3663490401026
"205",67.3967598484739
"206",67.3967598484739
"207",67.3624957498693
"208",67.3624957498693
"209",67.3529707339026
"210",67.3663490401026
"211",67.3663490401026
"212",67.3569007209026
"213",67.3663490401026
"214",67.3663490401026
"215",67.3663490401026
"216",67.3663490401026
"217",67.3663490401026
"218",67.3663490401026
"219",67.3663490401026
"220",67.3663490401026
"221",67.3707230405026
"222",67.3707230405026
"223",67.3663490401026
"224",67.3663490401026
"225",67.4414588032884
"226",67.3705805376693
"227",67.3705805376693
"228",67.3705805376693
"229",67.3705805376693
"230",67.3705805376693
"231",67.3743570353693
"232",63.5948914624592
"233",63.5928804636592
"234",63.5928833800759
"235",63.5928833800759
"236",63.5928833800759
"237",63.5928833800759
"238",63.5928833800759
"239",63.5928833800759
"240",63.5928833800759
"241",63.5928833800759
"242",63.5928833800759
"243",63.5928833800759
"244",63.5948914624592
"245",63.7942761499399
"246",63.765792657435
"247",63.7615345740517
"248",63.7615345740517
"249",63.7615345740517
"250",63.7615345740517
"251",63.7615345740517
"252",63.7615345740517
"253",63.7615345740517
"254",63.7615345740517
"255",63.7615345740517
"256",63.7615345740517
"257",63.763781658635
"258",63.7615345740517
"259",63.765792657435
"260",63.765792657435
"261",63.7615345740517
"262",63.7615345740517
"263",63.7615345740517
"264",63.7615345740517
"265",63.7615345740517
"266",63.9514357065366
"267",63.6000500574915
"268",63.5957919741082
"269",63.6000500574915
"270",63.6000500574915
"271",63.5957919741082
"272",63.5957919741082
"273",63.5909327550886
"274",63.5957919741082
"275",63.5957919741082
"276",63.5909327550886
"277",63.5957919741082
"278",63.5909327550886
"279",63.5909327550886
"280",63.5980390586915
"281",63.6000500574915
"282",63.6413199151925
"283",63.6000500574915
"284",63.6000500574915
"285",63.6000500574915
"286",63.6296640097732
"287",64.0263278978396
"288",64.0263278978396
"289",64.0330972210396
"290",64.0330972210396
"291",64.0537175465042
"292",64.0469482233042
"293",64.0330972210396
"294",64.0330972210396
"295",64.0330972210396
"296",64.0500675445042
"297",64.0678525430756
"298",64.0660725450756
"299",64.0780933211328
"300",64.0780933211328
"301",64.0780933211328
"302",64.0780933211328
"303",64.0780933211328
"304",64.0780933211328
"305",64.1420762378448
"306",64.1943462405448
"307",64.1385509174448
"308",64.3045029628486
"309",63.787913967084
"310",63.811129741722
"311",63.798058280284
"312",63.7936179768174
"313",63.7944039640934
"314",63.7936179768174
"315",63.7813325026554
"316",63.7878175022269
"317",63.798058280284
"318",63.804284530434
"319",63.862041196996
"320",63.862041196996
"321",63.917642698396
"322",63.917642698396
"323",63.862041196996
"324",63.862041196996
"325",63.798058280284
"326",63.798058280284
"327",63.875398699996
"328",63.917642698396
"329",63.787913967084
"330",63.684769761882
"331",63.6390606727139
"332",63.684769761882
"333",63.6328344225639
"334",63.6328344225639
"335",63.6328344225639
"336",63.6328344225639
"337",63.6328344225639
"338",63.6328344225639
"339",63.6328344225639
"340",63.6328344225639
"341",63.6328344225639
"342",63.684769761882
"343",63.684769761882
"344",63.6328344225639
"345",63.6328344225639
"346",63.6328344225639
"347",63.6328344225639
"348",63.6328344225639
"349",63.6390606727139
"350",63.6328344225639
"351",63.6226901093639
"352",64.0895727346589
"353",64.1535556513709
"354",64.1920594418717
"355",64.36489157026
"356",64.1746148106709
"357",64.1701571571709
"358",64.2033938205042
"359",64.9956228987302
"360",64.9945228987302
"361",65.0409943637168
"362",65.116824057609
"363",64.9958587252106
"364",64.9973148811302
"365",64.9991482191302
"366",64.9381725368873
"367",64.1736824775709
"368",64.2069191409042
"369",64.1603249745709
"370",64.0963420578589
"371",64.0963420578589
"372",64.0963420578589
"373",64.0895727346589
"374",64.2866905580304
"375",63.9231717925778
"376",64.3464901200312
"377",63.9231717925778
"378",63.9056600276732
"379",63.9234578341399
"380",63.8999560179399
"381",63.9234578341399
"382",63.9101003311399
"383",63.8472340824278
"384",63.8472340824278
"385",63.8472340824278
"386",63.8472340824278
"387",63.8472340824278
"388",63.8472340824278
"389",63.8472340824278
"390",63.8349733078707
"391",63.8435343079278
"392",63.8472340824278
"393",63.8472340824278
"394",64.1228053458539
"395",63.8373226831808
"396",64.4560782556373
"397",64.6142042088537
"398",64.6405341992537
"399",64.6595838458508
"400",64.6685051745175
"401",64.6685051745175
"402",64.6142042088537
"403",64.0347750233416
"404",64.0347750233416
"405",63.8373226831808
"406",63.8809668008279
"407",64.6405341992537
"408",64.6685051745175
"409",64.6685051745175
"410",64.6685051745175
"411",64.6685051745175
"412",64.727228545677
"413",64.7355267146703
"414",64.7791192758788
"415",64.7421287092103
"416",64.7806532706789
"417",64.9349356178435
"418",65.0388072428489
"419",64.8210546405159
"420",64.7880973447658
"421",64.8438602753311
"422",64.7448379704533
"423",64.7880973447658
"424",64.8274028177107
"425",64.8558029617087
"426",64.8525050572395
"427",64.8509398376387
"428",64.843725171061
"429",64.8060838402796
"430",64.7448379704533
"431",64.7880973447658
"432",64.8035613416129
"433",64.7880973447658
"434",64.8259778254107
"435",64.8259778254107
"436",64.8352811348231
"437",64.8525050572395
"438",64.8104215091462
"439",65.0718385766786
"440",64.8461734064966
"441",64.8125041250483
"442",64.8195310519706
"443",64.7770543827291
"444",64.7732323856691
"445",64.8082115272626
"446",64.8448396402438
"447",64.8183558404626
"448",64.8120241290483
"449",64.8494817934883
"450",64.8296753651705
"451",64.8198898352626
"452",64.7509125464887
"453",64.7509125464887
"454",64.7509125464887
"455",64.7568245438887
"456",64.8856101346252
"457",64.785061823937
"458",64.7252599587808
